Text,Label,Unigrams,Bigrams,Trigrams,Agreement_Count,Disagreement_Count,Modal_Verbs,Negations
The key contribution of our method is to demonstrate the freedom granted by remeshing at each simulation time step,own_claim,key contribution method demonstrate freedom granted remeshing simulation time step,key contribution contribution method method demonstrate demonstrate freedom freedom granted granted remeshing remeshing simulation simulation time time step,key contribution method contribution method demonstrate method demonstrate freedom demonstrate freedom granted freedom granted remeshing granted remeshing simulation remeshing simulation time simulation time step,0,0,,
"the simple, efficient methods for discretizing the inviscid Euler equations on tetrahe- dral meshes described in",own_claim,simple efficient methods discretizing inviscid euler equations tetrahe- dral meshes described,simple efficient efficient methods methods discretizing discretizing inviscid inviscid euler euler equations equations tetrahe- tetrahe- dral dral meshes meshes described,simple efficient methods efficient methods discretizing methods discretizing inviscid discretizing inviscid euler inviscid euler equations euler equations tetrahe- equations tetrahe- dral tetrahe- dral meshes dral meshes described,0,0,,
"Elcott et al., 2005",data,elcott et al 2005,elcott et et al al 2005,elcott et al et al 2005,0,0,,
"Feldman et al., 2005a",data,feldman et al 2005a,feldman et et al al 2005a,feldman et al et al 2005a,0,0,,
"Feldman et al., 2005b",data,feldman et al 2005b,feldman et et al al 2005b,feldman et al et al 2005b,0,0,,
details a generalization of the standard semiLagrangian velocity advection technique,background_claim,details generalization standard semilagrangian velocity advection technique,details generalization generalization standard standard semilagrangian semilagrangian velocity velocity advection advection technique,details generalization standard generalization standard semilagrangian standard semilagrangian velocity semilagrangian velocity advection velocity advection technique,0,0,,
"their approach can easily be applied to transfer information between two arbitrary, topologically unrelated meshes",own_claim,approach easily applied transfer information arbitrary topologically unrelated meshes,approach easily easily applied applied transfer transfer information information arbitrary arbitrary topologically topologically unrelated unrelated meshes,approach easily applied easily applied transfer applied transfer information transfer information arbitrary information arbitrary topologically arbitrary topologically unrelated topologically unrelated meshes,0,0,can,
is required to achieve more general evolution of the simulation domain from step to step,background_claim,required achieve general evolution simulation domain step step,required achieve achieve general general evolution evolution simulation simulation domain domain step step step,required achieve general achieve general evolution general evolution simulation evolution simulation domain simulation domain step domain step step,0,0,,
conformance to boundaries,data,conformance boundaries,conformance boundaries,,0,0,,
obstacles,data,obstacles,,,0,0,,
any desired refinement,data,desired refinement,desired refinement,,0,0,,
suits the current simulation conditions,own_claim,suits current simulation conditions,suits current current simulation simulation conditions,suits current simulation current simulation conditions,0,0,,
we need to quickly and reliably generate a new tetrahedral mesh for each time step,own_claim,need quickly reliably generate new tetrahedral mesh time step,need quickly quickly reliably reliably generate generate new new tetrahedral tetrahedral mesh mesh time time step,need quickly reliably quickly reliably generate reliably generate new generate new tetrahedral new tetrahedral mesh tetrahedral mesh time mesh time step,0,0,,
methods have long existed to mesh arbitrary domains,background_claim,methods long existed mesh arbitrary domains,methods long long existed existed mesh mesh arbitrary arbitrary domains,methods long existed long existed mesh existed mesh arbitrary mesh arbitrary domains,0,0,,
most are relatively slow in comparison to simulation running times,background_claim,relatively slow comparison simulation running times,relatively slow slow comparison comparison simulation simulation running running times,relatively slow comparison slow comparison simulation comparison simulation running simulation running times,0,0,,
don’t reliably terminate under realistic conditions,background_claim,reliably terminate realistic conditions,reliably terminate terminate realistic realistic conditions,reliably terminate realistic terminate realistic conditions,0,0,,n’t
"The availability of efficient, versatile meshing algorithms",background_claim,availability efficient versatile meshing algorithms,availability efficient efficient versatile versatile meshing meshing algorithms,availability efficient versatile efficient versatile meshing versatile meshing algorithms,0,0,,
has made the generation of a new mesh at each time step practical,background_claim,generation new mesh time step practical,generation new new mesh mesh time time step step practical,generation new mesh new mesh time mesh time step time step practical,0,0,,
"Alliez et al., 2005",data,alliez et al 2005,alliez et et al al 2005,alliez et al et al 2005,0,0,,
"a new, single-step method to achieve two-way coupling between obstacle and fluid motion",own_claim,new single step method achieve way coupling obstacle fluid motion,new single single step step method method achieve achieve way way coupling coupling obstacle obstacle fluid fluid motion,new single step single step method step method achieve method achieve way achieve way coupling way coupling obstacle coupling obstacle fluid obstacle fluid motion,0,0,,
Similar schemes have been used in,background_claim,similar schemes,similar schemes,,0,0,,
"Botta and Hempel, 1996",data,botta hempel 1996,botta hempel hempel 1996,botta hempel 1996,0,0,,
"[Elcott et al., 2005",data,elcott et al 2005,elcott et et al al 2005,elcott et al et al 2005,0,0,,
"Feldman et al., 2005a",data,feldman et al 2005a,feldman et et al al 2005a,feldman et al et al 2005a,0,0,,
These methods are a generalization of the staggered grid scheme originally proposed by,background_claim,methods generalization staggered grid scheme originally proposed,methods generalization generalization staggered staggered grid grid scheme scheme originally originally proposed,methods generalization staggered generalization staggered grid staggered grid scheme grid scheme originally scheme originally proposed,0,0,,
"Harlow and Welch, 1965",data,harlow welch 1965,harlow welch welch 1965,harlow welch 1965,0,0,,
This staggered method is used to discretize the inviscid Euler equations,background_claim,staggered method discretize inviscid euler equations,staggered method method discretize discretize inviscid inviscid euler euler equations,staggered method discretize method discretize inviscid discretize inviscid euler inviscid euler equations,0,0,,
∂u p f = − (u · ) u − + ∂t ρ ρ,data,∂u p f = − u u − + ∂t ρ ρ,∂u p p f f = = − − u u u u − − + + ∂t ∂t ρ ρ ρ,∂u p f p f = f = − = − u − u u u u − u − + − + ∂t + ∂t ρ ∂t ρ ρ,0,0,,
subject to the mass conservation constraint for incompress-,background_claim,subject mass conservation constraint incompress-,subject mass mass conservation conservation constraint constraint incompress-,subject mass conservation mass conservation constraint conservation constraint incompress-,0,0,,
ible fluids,background_claim,ible fluids,ible fluids,,0,0,,
u =0,data,u = 0,u = = 0,u = 0,0,0,,
Divergence and gradient operators are needed as part of the mass conservation step,own_claim,divergence gradient operators needed mass conservation step,divergence gradient gradient operators operators needed needed mass mass conservation conservation step,divergence gradient operators gradient operators needed operators needed mass needed mass conservation mass conservation step,0,0,,
the formulation presented in,own_claim,formulation presented,formulation presented,,0,0,,
"Losasso et al., 2004",data,losasso et al 2004,losasso et et al al 2004,losasso et al et al 2004,0,0,,
"Elcott et al., 2005",data,elcott et al 2005,elcott et et al al 2005,elcott et al et al 2005,0,0,,
This property of Delaunay meshes motivates our storage scheme at circumcenters,own_claim,property delaunay meshes motivates storage scheme circumcenters,property delaunay delaunay meshes meshes motivates motivates storage storage scheme scheme circumcenters,property delaunay meshes delaunay meshes motivates meshes motivates storage motivates storage scheme storage scheme circumcenters,0,0,,
the gradient estimate is equivalent to the gradient of a piecewise linear function that interpolates the circumcenter values,own_claim,gradient estimate equivalent gradient piecewise linear function interpolates circumcenter values,gradient estimate estimate equivalent equivalent gradient gradient piecewise piecewise linear linear function function interpolates interpolates circumcenter circumcenter values,gradient estimate equivalent estimate equivalent gradient equivalent gradient piecewise gradient piecewise linear piecewise linear function linear function interpolates function interpolates circumcenter interpolates circumcenter values,0,0,,
The staggered scheme stores only the component of velocity in the face normal direction,background_claim,staggered scheme stores component velocity face normal direction,staggered scheme scheme stores stores component component velocity velocity face face normal normal direction,staggered scheme stores scheme stores component stores component velocity component velocity face velocity face normal face normal direction,0,0,,
a full velocity vector must be found at arbitrary positions in the mesh,background_claim,velocity vector found arbitrary positions mesh,velocity vector vector found found arbitrary arbitrary positions positions mesh,velocity vector found vector found arbitrary found arbitrary positions arbitrary positions mesh,0,0,must,
the semi-Lagrangian step and to advect smoke particles for rendering,data,semi lagrangian step advect smoke particles rendering,semi lagrangian lagrangian step step advect advect smoke smoke particles particles rendering,semi lagrangian step lagrangian step advect step advect smoke advect smoke particles smoke particles rendering,0,0,,
the two-step method developed in,own_claim,step method developed,step method method developed,step method developed,0,0,,
"Elcott et al., 2005",data,elcott et al 2005,elcott et et al al 2005,elcott et al et al 2005,0,0,,
Velocity u t for tetrahedron t is found by solving the small linear system N t u t = z t,own_claim,velocity u t tetrahedron t found solving small linear system n t u t = z t,velocity u u t t tetrahedron tetrahedron t t found found solving solving small small linear linear system system n n t t u u t t = = z z t,velocity u t u t tetrahedron t tetrahedron t tetrahedron t found t found solving found solving small solving small linear small linear system linear system n system n t n t u t u t u t = t = z = z t,0,0,,
this solution has the remarkable property,own_claim,solution remarkable property,solution remarkable remarkable property,solution remarkable property,0,0,,
a divergence-free field,data,divergence free field,divergence free free field,divergence free field,0,0,,
interpolating the u t velocities also exactly interpolates the face-normal velocity components,own_claim,interpolating u t velocities exactly interpolates face normal velocity components,interpolating u u t t velocities velocities exactly exactly interpolates interpolates face face normal normal velocity velocity components,interpolating u t u t velocities t velocities exactly velocities exactly interpolates exactly interpolates face interpolates face normal face normal velocity normal velocity components,0,0,,
This interpolation is based on the method of,own_claim,interpolation based method,interpolation based based method,interpolation based method,0,0,,
"Warren et al., 2004",data,warren et al 2004,warren et et al al 2004,warren et al et al 2004,0,0,,
presents a way to interpolate within a general convex polytope,own_claim,presents way interpolate general convex polytope,presents way way interpolate interpolate general general convex convex polytope,presents way interpolate way interpolate general interpolate general convex general convex polytope,0,0,,
Equation (3) applied to node weights within a Voronoi cell can be simplified to,own_claim,equation 3 applied node weights voronoi cell simplified,equation 3 3 applied applied node node weights weights voronoi voronoi cell cell simplified,equation 3 applied 3 applied node applied node weights node weights voronoi weights voronoi cell voronoi cell simplified,0,0,can,
6Vol(t) w t (x) = 3 i=1 (p i − p v ) · (c t − x),own_claim,6vol(t w t x = 3 i=1 p − p v c t − x,6vol(t w w t t x x = = 3 3 i=1 i=1 p p − − p p v v c c t t − − x,6vol(t w t w t x t x = x = 3 = 3 i=1 3 i=1 p i=1 p − p − p − p v p v c v c t c t − t − x,0,0,,
is omitted for brevity,own_claim,omitted brevity,omitted brevity,,0,0,,
After some manipulation,data,manipulation,,,0,0,,
A similar observation appears in,own_claim,similar observation appears,similar observation observation appears,similar observation appears,0,0,,
"Ju et al., 2005",data,ju et al 2005,ju et et al al 2005,ju et al et al 2005,0,0,,
the velocity interpolation is quite efficient,own_claim,velocity interpolation efficient,velocity interpolation interpolation efficient,velocity interpolation efficient,0,0,,
with it,data,,,,0,0,,
velocities at nodes of tetrahedra can be first be found using Equation (4),own_claim,velocities nodes tetrahedra found equation 4,velocities nodes nodes tetrahedra tetrahedra found found equation equation 4,velocities nodes tetrahedra nodes tetrahedra found tetrahedra found equation found equation 4,0,0,can,
advecting large numbers of particles,data,advecting large numbers particles,advecting large large numbers numbers particles,advecting large numbers large numbers particles,0,0,,
quickly interpolated in a linear fasion over the tetrahedra to advect the particles,own_claim,quickly interpolated linear fasion tetrahedra advect particles,quickly interpolated interpolated linear linear fasion fasion tetrahedra tetrahedra advect advect particles,quickly interpolated linear interpolated linear fasion linear fasion tetrahedra fasion tetrahedra advect tetrahedra advect particles,0,0,,
The simple and stable semi-Lagrangian method has become the standard tool for advection of the velocity field for graphical applications,background_claim,simple stable semi lagrangian method standard tool advection velocity field graphical applications,simple stable stable semi semi lagrangian lagrangian method method standard standard tool tool advection advection velocity velocity field field graphical graphical applications,simple stable semi stable semi lagrangian semi lagrangian method lagrangian method standard method standard tool standard tool advection tool advection velocity advection velocity field velocity field graphical field graphical applications,0,0,,
"Stam, 1999",data,stam 1999,stam 1999,,0,0,,
The basic idea of the method,background_claim,basic idea method,basic idea idea method,basic idea method,0,0,,
is that we can find a velocity that will advect to a point by tracing back from that point and interpolating the old velocity field,background_claim,find velocity advect point tracing point interpolating old velocity field,find velocity velocity advect advect point point tracing tracing point point interpolating interpolating old old velocity velocity field,find velocity advect velocity advect point advect point tracing point tracing point tracing point interpolating point interpolating old interpolating old velocity old velocity field,0,0,can will,
This method does not rely on velocities being stored at any particular place,background_claim,method rely velocities stored particular place,method rely rely velocities velocities stored stored particular particular place,method rely velocities rely velocities stored velocities stored particular stored particular place,0,1,,not
the velocity can be interpolated throughout space,background_claim,velocity interpolated space,velocity interpolated interpolated space,velocity interpolated space,0,0,can,
meshes which change arbitrarily at each time step as in,own_claim,meshes change arbitrarily time step,meshes change change arbitrarily arbitrarily time time step,meshes change arbitrarily change arbitrarily time arbitrarily time step,0,0,,
"Feldman et al., 2005b",data,feldman et al 2005b,feldman et et al al 2005b,feldman et al et al 2005b,0,0,,
This extension does not incur any additional smoothing,background_claim,extension incur additional smoothing,extension incur incur additional additional smoothing,extension incur additional incur additional smoothing,0,1,,not
using semi-Lagrangian advection with static meshes,background_claim,semi lagrangian advection static meshes,semi lagrangian lagrangian advection advection static static meshes,semi lagrangian advection lagrangian advection static advection static meshes,0,0,,
we have to trace back and interpolate using this previous mesh,own_claim,trace interpolate previous mesh,trace interpolate interpolate previous previous mesh,trace interpolate previous interpolate previous mesh,0,0,,
Figure 2,data,figure 2,figure 2,,0,0,,
the velocities from the previous step are stored on a different mesh,data,velocities previous step stored different mesh,velocities previous previous step step stored stored different different mesh,velocities previous step previous step stored step stored different stored different mesh,0,0,,
"The domain boundaries, obstacles, and smoke are free to move and change from step to step of the simulation",background_claim,domain boundaries obstacles smoke free change step step simulation,domain boundaries boundaries obstacles obstacles smoke smoke free free change change step step step step simulation,domain boundaries obstacles boundaries obstacles smoke obstacles smoke free smoke free change free change step change step step step step simulation,0,0,,
our domain conforms well to boundaries,own_claim,domain conforms boundaries,domain conforms conforms boundaries,domain conforms boundaries,0,0,,
is refined in visually important areas,own_claim,refined visually important areas,refined visually visually important important areas,refined visually important visually important areas,0,0,,
regenerating the mesh at each time,data,regenerating mesh time,regenerating mesh mesh time,regenerating mesh time,0,0,,
the variational tetrahedral meshing algorithm presented in,own_claim,variational tetrahedral meshing algorithm presented,variational tetrahedral tetrahedral meshing meshing algorithm algorithm presented,variational tetrahedral meshing tetrahedral meshing algorithm meshing algorithm presented,0,0,,
"Alliez et al., 2005",data,alliez et al 2005,alliez et et al al 2005,alliez et al et al 2005,0,0,,
This method allows for generation of tetrahedral meshes,own_claim,method allows generation tetrahedral meshes,method allows allows generation generation tetrahedral tetrahedral meshes,method allows generation allows generation tetrahedral generation tetrahedral meshes,0,0,,
conform well to an arbitrary input surface mesh,own_claim,conform arbitrary input surface mesh,conform arbitrary arbitrary input input surface surface mesh,conform arbitrary input arbitrary input surface input surface mesh,0,0,,
have no restrictions on topology,own_claim,restrictions topology,restrictions topology,,0,1,,
allow nested voids,data,allow nested voids,allow nested nested voids,allow nested voids,0,0,,
allow for sizing of tetrahedra throughout the domain based on arbitrary criteria,own_claim,allow sizing tetrahedra domain based arbitrary criteria,allow sizing sizing tetrahedra tetrahedra domain domain based based arbitrary arbitrary criteria,allow sizing tetrahedra sizing tetrahedra domain tetrahedra domain based domain based arbitrary based arbitrary criteria,0,0,,
Our implementation differs from the original algorithm in a couple of details,own_claim,implementation differs original algorithm couple details,implementation differs differs original original algorithm algorithm couple couple details,implementation differs original differs original algorithm original algorithm couple algorithm couple details,0,0,,
for any point x in the simulation domain,data,point x simulation domain,point x x simulation simulation domain,point x simulation x simulation domain,0,0,,
refinement of the mesh is controlled by a sizing function μ(x),own_claim,refinement mesh controlled sizing function μ(x,refinement mesh mesh controlled controlled sizing sizing function function μ(x,refinement mesh controlled mesh controlled sizing controlled sizing function sizing function μ(x,0,0,,
in the original method,data,original method,original method,,0,0,,
returns the desired local edge length of the tetrahedra,own_claim,returns desired local edge length tetrahedra,returns desired desired local local edge edge length length tetrahedra,returns desired local desired local edge local edge length edge length tetrahedra,0,0,,
k 0 is an offset value that controls the minimum value of the sizing field,own_claim,k 0 offset value controls minimum value sizing field,k 0 0 offset offset value value controls controls minimum minimum value value sizing sizing field,k 0 offset 0 offset value offset value controls value controls minimum controls minimum value minimum value sizing value sizing field,0,0,,
the minimum local edge length of tetrahedra,own_claim,minimum local edge length tetrahedra,minimum local local edge edge length length tetrahedra,minimum local edge local edge length edge length tetrahedra,0,0,,
d(x) is the distance to the closest obstacle or boundary which demands refinement,own_claim,d(x distance closest obstacle boundary demands refinement,d(x distance distance closest closest obstacle obstacle boundary boundary demands demands refinement,d(x distance closest distance closest obstacle closest obstacle boundary obstacle boundary demands boundary demands refinement,0,0,,
These three factors are the same as those used for octree refinement in,own_claim,factors octree refinement,factors octree octree refinement,factors octree refinement,0,0,,
"Losasso et al., 2004",data,losasso et al 2004,losasso et et al al 2004,losasso et al et al 2004,0,0,,
The overall goal of the sizing field is to focus computational effort in the most visually important parts of the scene,own_claim,overall goal sizing field focus computational effort visually important parts scene,overall goal goal sizing sizing field field focus focus computational computational effort effort visually visually important important parts parts scene,overall goal sizing goal sizing field sizing field focus field focus computational focus computational effort computational effort visually effort visually important visually important parts important parts scene,0,0,,
near closed boundaries,data,near closed boundaries,near closed closed boundaries,near closed boundaries,0,0,,
the velocity field varies most,own_claim,velocity field varies,velocity field field varies,velocity field varies,0,0,,
smoke is visible,own_claim,smoke visible,smoke visible,,0,0,,
Figure 3,data,figure 3,figure 3,,0,0,,
Figure 4,data,figure 4,figure 4,,0,0,,
This meshing method is iterative,data,meshing method iterative,meshing method method iterative,meshing method iterative,0,0,,
the mesh from the previous simulation time step can be used as an initial guess,own_claim,mesh previous simulation time step initial guess,mesh previous previous simulation simulation time time step step initial initial guess,mesh previous simulation previous simulation time simulation time step time step initial step initial guess,0,0,can,
the sizing field does not change too much,own_claim,sizing field change,sizing field field change,sizing field change,0,1,,not
there is,background_claim,,,,0,0,,
strong temporal coherence between steps of the simulation,background_claim,strong temporal coherence steps simulation,strong temporal temporal coherence coherence steps steps simulation,strong temporal coherence temporal coherence steps coherence steps simulation,0,0,,
the nodes from the previous step are often a good initialization,own_claim,nodes previous step good initialization,nodes previous previous step step good good initialization,nodes previous step previous step good step good initialization,0,0,,
the initial node placement is corrected to match the sizing field of the current step,own_claim,initial node placement corrected match sizing field current step,initial node node placement placement corrected corrected match match sizing sizing field field current current step,initial node placement node placement corrected placement corrected match corrected match sizing match sizing field sizing field current field current step,0,0,,
Before the algorithm proceeds,data,algorithm proceeds,algorithm proceeds,,0,0,,
this tends to slightly decrease the average quality of tetrahedra in the mesh,own_claim,tends slightly decrease average quality tetrahedra mesh,tends slightly slightly decrease decrease average average quality quality tetrahedra tetrahedra mesh,tends slightly decrease slightly decrease average decrease average quality average quality tetrahedra quality tetrahedra mesh,0,0,,
it often leads to substantial improvements in the quality of the worst elements of the mesh,own_claim,leads substantial improvements quality worst elements mesh,leads substantial substantial improvements improvements quality quality worst worst elements elements mesh,leads substantial improvements substantial improvements quality improvements quality worst quality worst elements worst elements mesh,0,0,,
are of more concern for numerical simulation,own_claim,concern numerical simulation,concern numerical numerical simulation,concern numerical simulation,0,0,,
remeshing takes time,own_claim,remeshing takes time,remeshing takes takes time,remeshing takes time,0,0,,
it is important to consider the impact it has on overall simulation performance,own_claim,important consider impact overall simulation performance,important consider consider impact impact overall overall simulation simulation performance,important consider impact consider impact overall impact overall simulation overall simulation performance,0,0,,
The time spent generating meshes for each simulation step varies,own_claim,time spent generating meshes simulation step varies,time spent spent generating generating meshes meshes simulation simulation step step varies,time spent generating spent generating meshes generating meshes simulation meshes simulation step simulation step varies,0,0,,
generally accounts for less than a quarter of the overall simulation time,own_claim,generally accounts quarter overall simulation time,generally accounts accounts quarter quarter overall overall simulation simulation time,generally accounts quarter accounts quarter overall quarter overall simulation overall simulation time,0,0,,
can be complex and visually appealing,background_claim,complex visually appealing,complex visually visually appealing,complex visually appealing,0,0,can,
The motion of fluid and rigid bodies,background_claim,motion fluid rigid bodies,motion fluid fluid rigid rigid bodies,motion fluid rigid fluid rigid bodies,0,0,,
The interaction occurs as a consequence of the conditions,background_claim,interaction occurs consequence conditions,interaction occurs occurs consequence consequence conditions,interaction occurs consequence occurs consequence conditions,0,0,,
The velocities in the normal direction are the same at the interface of the fluid and the rigid body surface,background_claim,velocities normal direction interface fluid rigid body surface,velocities normal normal direction direction interface interface fluid fluid rigid rigid body body surface,velocities normal direction normal direction interface direction interface fluid interface fluid rigid fluid rigid body rigid body surface,0,0,,
The fluid velocity is divergence free,background_claim,fluid velocity divergence free,fluid velocity velocity divergence divergence free,fluid velocity divergence velocity divergence free,0,0,,
the rigid body velocity is rigid,background_claim,rigid body velocity rigid,rigid body body velocity velocity rigid,rigid body velocity body velocity rigid,0,0,,
The linear and angular momentum of the combined system is conserved,background_claim,linear angular momentum combined system conserved,linear angular angular momentum momentum combined combined system system conserved,linear angular momentum angular momentum combined momentum combined system combined system conserved,0,0,,
"Carlson et al., 2004",data,carlson et al 2004,carlson et et al al 2004,carlson et al et al 2004,0,0,,
these conditions are enforced sequentially,background_claim,conditions enforced sequentially,conditions enforced enforced sequentially,conditions enforced sequentially,0,0,,
this produces results that look very good,background_claim,produces results look good,produces results results look look good,produces results look results look good,0,0,,
for many cases,data,cases,,,0,0,,
artifacts can be created,background_claim,artifacts created,artifacts created,,0,0,can,
under some situations,data,situations,,,0,0,,
enforcing one of the conditions in general will break a previously enforced on,data,enforcing conditions general break previously enforced,enforcing conditions conditions general general break break previously previously enforced,enforcing conditions general conditions general break general break previously break previously enforced,0,0,will,
Examples of such artifacts might be fluid leaking through solid boundaries or poor performance in piston-like situations,background_claim,examples artifacts fluid leaking solid boundaries poor performance piston like situations,examples artifacts artifacts fluid fluid leaking leaking solid solid boundaries boundaries poor poor performance performance piston piston like like situations,examples artifacts fluid artifacts fluid leaking fluid leaking solid leaking solid boundaries solid boundaries poor boundaries poor performance poor performance piston performance piston like piston like situations,0,0,might,
Our implementation differs from,own_claim,implementation differs,implementation differs,,0,0,,
"Carlson et al., 2004",data,carlson et al 2004,carlson et et al al 2004,carlson et al et al 2004,0,0,,
in a couple of ways,own_claim,couple ways,couple ways,,0,0,,
the mass conservation step solves for pressures that accelerate the velocity field to be divergence free,background_claim,mass conservation step solves pressures accelerate velocity field divergence free,mass conservation conservation step step solves solves pressures pressures accelerate accelerate velocity velocity field field divergence divergence free,mass conservation step conservation step solves step solves pressures solves pressures accelerate pressures accelerate velocity accelerate velocity field velocity field divergence field divergence free,0,0,,
the mass conservation step treats faces to behave as fluid or explicitly prescribes their velocities,background_claim,mass conservation step treats faces behave fluid explicitly prescribes velocities,mass conservation conservation step step treats treats faces faces behave behave fluid fluid explicitly explicitly prescribes prescribes velocities,mass conservation step conservation step treats step treats faces treats faces behave faces behave fluid behave fluid explicitly fluid explicitly prescribes explicitly prescribes velocities,0,0,,
"Fedkiw et al., 2001",data,fedkiw et al 2001,fedkiw et et al al 2001,fedkiw et al et al 2001,0,0,,
For a more complete discussion of fluid/prescribed-velocity mass conservation see,own_claim,complete discussion fluid prescribed velocity mass conservation,complete discussion discussion fluid fluid prescribed prescribed velocity velocity mass mass conservation,complete discussion fluid discussion fluid prescribed fluid prescribed velocity prescribed velocity mass velocity mass conservation,0,0,,
The rigid body accelerations can be computed by creating a matrix R,own_claim,rigid body accelerations computed creating matrix r,rigid body body accelerations accelerations computed computed creating creating matrix matrix r,rigid body accelerations body accelerations computed accelerations computed creating computed creating matrix creating matrix r,0,0,can,
R can be formed by a series of matrix multiplications,own_claim,r formed series matrix multiplications,r formed formed series series matrix matrix multiplications,r formed series formed series matrix series matrix multiplications,0,0,can,
 b 1  R = ,own_claim, b 1  r = , b b 1 1   r r = = , b 1 b 1  1  r  r = r = ,0,0,,
 M 0 −1 I −1 0 A 1 b T 1 ··· A k b T k b k,own_claim, m 0 −1 −1 0 1 b t 1 k b t k b k, m m 0 0 −1 −1 −1 −1 0 0 1 1 b b t t 1 1 k k b b t t k k b b k, m 0 m 0 −1 0 −1 −1 −1 −1 0 −1 0 1 0 1 b 1 b t b t 1 t 1 k 1 k b k b t b t k t k b k b k,0,0,,
accelerations generated by this matrix behave rigidly,own_claim,accelerations generated matrix behave rigidly,accelerations generated generated matrix matrix behave behave rigidly,accelerations generated matrix generated matrix behave matrix behave rigidly,0,0,,
construction,data,construction,,,0,0,,
Computing pressure accelerations of both the fluid and fluid-rigid faces can be expressed as a matrix A,own_claim,computing pressure accelerations fluid fluid rigid faces expressed matrix,computing pressure pressure accelerations accelerations fluid fluid fluid fluid rigid rigid faces faces expressed expressed matrix,computing pressure accelerations pressure accelerations fluid accelerations fluid fluid fluid fluid rigid fluid rigid faces rigid faces expressed faces expressed matrix,0,0,can,
A row of A,own_claim,row,,,0,0,,
contains the same entries as the standard gradient matrix multiplied by −1/ρ,own_claim,contains entries standard gradient matrix multiplied −1 ρ,contains entries entries standard standard gradient gradient matrix matrix multiplied multiplied −1 −1 ρ,contains entries standard entries standard gradient standard gradient matrix gradient matrix multiplied matrix multiplied −1 multiplied −1 ρ,0,0,,
mass conservation including two way coupling proceeds much in the same way as in the all-fluid case,own_claim,mass conservation including way coupling proceeds way fluid case,mass conservation conservation including including way way coupling coupling proceeds proceeds way way fluid fluid case,mass conservation including conservation including way including way coupling way coupling proceeds coupling proceeds way proceeds way fluid way fluid case,0,0,,
With A built,data,built,,,0,0,,
with A replacing the role of the discrete gradient matrix,data,replacing role discrete gradient matrix,replacing role role discrete discrete gradient gradient matrix,replacing role discrete role discrete gradient discrete gradient matrix,0,0,,
"the intermediate velocity field, z ∗ , is accelerated to the end-of-step velocity, z, by z = z ∗ + ∆tAp",own_claim,intermediate velocity field z ∗ accelerated end step velocity z z = z ∗ + ∆tap,intermediate velocity velocity field field z z ∗ ∗ accelerated accelerated end end step step velocity velocity z z z z = = z z ∗ ∗ + + ∆tap,intermediate velocity field velocity field z field z ∗ z ∗ accelerated ∗ accelerated end accelerated end step end step velocity step velocity z velocity z z z z = z = z = z ∗ z ∗ + ∗ + ∆tap,0,0,,
"vector of pressures, p",data,vector pressures p,vector pressures pressures p,vector pressures p,0,0,,
z ∗ is found by applying all terms of Equation (1) except the pressure term,own_claim,z ∗ found applying terms equation 1 pressure term,z ∗ ∗ found found applying applying terms terms equation equation 1 1 pressure pressure term,z ∗ found ∗ found applying found applying terms applying terms equation terms equation 1 equation 1 pressure 1 pressure term,0,0,,
the fluid faces,data,fluid faces,fluid faces,,0,0,,
the fluid-rigid faces,data,fluid rigid faces,fluid rigid rigid faces,fluid rigid faces,0,0,,
z ∗ is found using a rigid body simulator without pressure forces applied,own_claim,z ∗ found rigid body simulator pressure forces applied,z ∗ ∗ found found rigid rigid body body simulator simulator pressure pressure forces forces applied,z ∗ found ∗ found rigid found rigid body rigid body simulator body simulator pressure simulator pressure forces pressure forces applied,0,0,,
This linear system can be solved efficiently using PCG,own_claim,linear system solved efficiently pcg,linear system system solved solved efficiently efficiently pcg,linear system solved system solved efficiently solved efficiently pcg,0,0,can,
the the matrix DA,own_claim,matrix da,matrix da,,0,0,,
is also a positive-definite symmetric matrix,own_claim,positive definite symmetric matrix,positive definite definite symmetric symmetric matrix,positive definite symmetric definite symmetric matrix,0,0,,
we can also interact with constrained rigid bodies,own_claim,interact constrained rigid bodies,interact constrained constrained rigid rigid bodies,interact constrained rigid constrained rigid bodies,0,0,can,
This simply requires finding an R matrix,own_claim,simply requires finding r matrix,simply requires requires finding finding r r matrix,simply requires finding requires finding r finding r matrix,0,0,,
that correctly computes face accelerations,own_claim,correctly computes face accelerations,correctly computes computes face face accelerations,correctly computes face computes face accelerations,0,0,,
due to pressure,data,pressure,,,0,0,,
one could easily alter R such that the body was constrained to just rotate about the origin by replacing b i in Equation (6) with b i = (r i × n i ) T and using only the I −1 block for the center matrix,own_claim,easily alter r body constrained rotate origin replacing b equation 6 b = r × n t −1 block center matrix,easily alter alter r r body body constrained constrained rotate rotate origin origin replacing replacing b b equation equation 6 6 b b = = r r × × n n t t −1 −1 block block center center matrix,easily alter r alter r body r body constrained body constrained rotate constrained rotate origin rotate origin replacing origin replacing b replacing b equation b equation 6 equation 6 b 6 b = b = r = r × r × n × n t n t −1 t −1 block −1 block center block center matrix,0,0,could,
This idea could be extended further to include even articulated bodies,own_claim,idea extended include articulated bodies,idea extended extended include include articulated articulated bodies,idea extended include extended include articulated include articulated bodies,0,0,could,
